Info					LAZARUS							OFFICIAL							CHANGES																LEVEL - UP MOVES																											EGG MOVES																	TM/HM MOVES																																						MOVE TUTOR MOVES																								POKEDEX STATS							
Name	Nat #	#	Type		HP	ATK	DEF	SPA	SPD	SPE	BST	HP	ATK	DEF	SPA	SPD	SPE	BST	HP	ATK	DEF	SPA	SPD	SPE	BST	Ability 1	Ability 2	Hidden Ability	Evolution	Item 1 - 50%	Item 2 - 5%	Location	Egg Groups		Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 18	Move 19	Move 20	Move 21	Move 22	Move 23	Move 23	Move 24	Move 25	Move 26	Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 18	Move 19	Move 20	Move 21	Move 22	Move 23	Move 24	Move 25	Move 26	Move 27	Move 28	Move 29	Move 30	Move 31	Move 32	Move 33	Move 34	Move 35	Move 36	Move 37	Move 38	Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 18	Move 19	Move 20	Move 21	Move 22	Move 23	Sprite #	EV Yield	Height (m)	Weight (kg)	Base Exp.	Catch Rate	Egg Cycles	Base Friendship	Growth Rate
Gourgeist	711	123	Ghost	Grass	75	90	122	58	75	84	504	65	90	122	58	75	84	494	10	0	0	0	0	0	10	Tangling Hair	Frisk	Insomnia	Linking Cord			The Nyx Trails (wild)	Amorphous	Amorphous	Evo, Chloroblast	1, Phantom Force	1, Trick	1, Astonish	1, Confuse Ray	1, Scary Face	11, Worry Seed	16, Razor Leaf	20, Leech Seed	26, Bullet Seed	30, Shadow Sneak	33, Trick-or-Treat	36, Shadow Ball	40, Pain Split	42, Seed Bomb	44, Phantom Force	50, Explosion											Disable	Bestow	Destiny Bond	Curse														TM06 - Toxic	TM09 - Bullet Seed	TM11 - Sunny Day	TM16 - Light Screen	TM17 - Protect	TM19 - Giga Drain	TM22 - Solar Beam	TM23 - Hex	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM35 - Flamethrower	TM36 - Sludge Bomb	TM38 - Fire Blast	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM48 - Skill Swap	TM51 - Will-O-Wisp	TM59 - Dark Pulse	HM05 - Flash	HM06 - Rock Smash																Dream Eater	Endure	Explosion	Rock Slide	Sleep Talk	Snore	Swagger																	711	2 Def	0.9	12.5	173	60	20	50	Medium Fast
Shroomish	285	124	Grass		60	40	60	40	60	35	295	60	40	60	40	60	35	295	0	0	0	0	0	0	0	Effect Spore	Poison Heal	Quick Feet		Tiny Mushroom	Big Mushroom	Acrisia City, Wanderer`s Woods N (wild)	Fairy	Grass	1, Absorb	1, Tackle	5, Stun Spore	8, Leech Seed	12, Mega Drain	15, Headbutt	19, Poison Powder	22, Worry Seed	26, Giga Drain	29, Growth	33, Toxic	36, Seeb Bomb	40, Spore															Fake Tears	Charm	Helping Hand	Worry Seed	Wake-Up Slap	Seed Bomb	Bullet Seed	Focus Punch	Natural Gift	Drain Punch								TM06 - Toxic	TM09 - Bullet Seed	TM11 - Sunny Day	TM17 - Protect	TM18 - Rain Dance	TM19 - Giga Drain	TM22 - Solar Beam	TM32 - Double Team	TM36 - Sludge Bomb	TM42 - Facade	TM44 - Rest	TM45 - Attract	HM05 - Flash																										Body Slam	Double-Edge	Endure	Sleep Talk	Snore	Swagger	Swift	Swords Dance																285	1 HP	0.4	4.5	59	255	15	50	Fluctuating
Breloom	286	125	Grass	Fighting	60	130	80	55	66	79	470	60	130	80	60	60	70	460	0	0	0	-5	6	9	10	Effect Spore	Poison Heal	Technician	Lv. 23	Tiny Mushroom	Big Mushroom	Lastlight Road, The Nyx Trails (wild)	Fairy	Grass	Evo, Mach Punch	1, Absorb	1, Tackle	5, Stun Spore	8, Leech Seed	12, Mega Drain	15, Headbutt	19, Feint	22, Counter	25, Dizzy Punch	28, Force Palm	30, Power-Up Punch	33, Trop Kick	35, False Swipe	37, Mind Reader	39, Sky Uppercut	42, Spore	44, Seed Bomb	50, Dynamic Punch									Fake Tears	Charm	Helping Hand	Worry Seed	Wake-Up Slap	Seed Bomb	Bullet Seed	Focus Punch	Natural Gift	Drain Punch								TM06 - Toxic	TM08 - Bulk Up	TM09 - Bullet Seed	TM11 - Sunny Day	TM17 - Protect	TM18 - Rain Dance	TM19 - Giga Drain	TM20 - Poison Jab	TM22 - Solar Beam	TM28 - Dig	TM31 - Brick Break	TM32 - Double Team	TM36 - Sludge Bomb	TM39 - Rock Tomb	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM49 - Bulldoze	TM53 - Power-Up Punch	HM01 - Cut	HM04 - Strength	HM05 - Flash	HM06 - Rock Smash															Body Slam	Counter	Double-Edge	Dynamic Punch	Endure	Fury Cutter	Mega Kick	Mega Punch	Mud-Slap	Rock Slide	Seismic Toss	Sleep Talk	Snore	Swagger	Swift	Swords Dance	Thunder Punch							286	2 Atk	1.2	39.2	161	90	15	50	Fluctuating
Heracross	214	126	Bug	Fighting	85	125	95	40	95	80	520	80	125	75	40	95	85	500	5	0	20	0	0	-5	20	Swarm	Guts	Moxie				Wanderer`s Woods N, Wanderer`s Woods S, Sea of Asteri W (wild)	Bug	Bug	1, Bullet Seed	1, Night Slash	1, Tackle	1, Leer	1, Horn Attack	1, Endure	7, Feint	10, Aerial Ace	14, Arm Thrust	16, Chip Away	19, Counter	23, Fury Attack	26, Brick Break	30, Ceaseless Edge	31, X-Scissor	34, Megahorn	37, Headlong Rush	43, Close Combat	46, No Retreat	46, Reversal	50, First Impression							Harden	Bide	Flail	Revenge	Pursuit	Double-Edge	Seismic Toss	Focus Punch	Megahorn	Rock Blast								TM04 - Calm Mind	TM06 - Toxic	TM08 - Bulk Up	TM09 - Bullet Seed	TM11 - Sunny Day	TM17 - Protect	TM18 - Rain Dance	TM26 - Earthquake	TM28 - Dig	TM31 - Brick Break	TM32 - Double Team	TM39 - Rock Tomb	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM49 - Bulldoze	HM01 - Cut	HM04 - Strength	HM06 - Rock Smash																		Body Slam	Counter	Double-Edge	Endure	Fury Cutter	Rock Slide	Seismic Toss	Sleep Talk	Snore	Swagger	Swords Dance													214	2 Atk	1.5	54.0	175	45	25	50	Slow
Shuppet	353	127	Ghost	Normal	54	75	45	63	43	45	325	44	75	35	63	33	45	295	10	0	10	0	10	0	30	Insomnia	Frisk	Cursed Body			Spell Tag	Wanderer`s Woods N, Pythios Cemetery, The Nyx Trails (wild)	Amorphous	Amorphous	1, Knock Off	4, Screech	7, Night Shade	10, Spite	13, Shadow Sneak	16, Will-O-Wisp	19, Feint Attack	21, Headbutt	22, Hex	26, Curse	28, Glare	30, Shadow Ball	34, Embargo	36, Body Slam	38, Sucker Punch	38, Darkest Lariat	40, Rage Fist	42, Snatch	46, Grudge	50, Trick	52, Bitter Blade	54, Phantom Force						Disable	Destiny Bond	Foresight	Astonish	Imprison	Pursuit	Shadow Sneak	Confuse Ray	Ominous Wind	Gunk Shot	Phantom Force							TM04 - Calm Mind	TM06 - Toxic	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM18 - Rain Dance	TM23 - Hex	TM24 - Thunderbolt	TM25 - Thunder	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM34 - Shock Wave	TM41 - Torment	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM48 - Skill Swap	TM51 - Will-O-Wisp	TM54 - Dazzling Gleam	TM58 - Thunder Wave	TM59 - Dark Pulse	HM05 - Flash															Body Slam	Double-Edge	Dream Eater	Endure	Icy Wind	Metronome	Psych Up	Sleep Talk	Snore	Swagger														353	1 Atk	0.6	2.3	59	225	25	35	Fast
Banette	354	128	Ghost	Normal	74	115	75	53	73	75	465	64	115	65	83	63	65	455	10	0	10	-30	10	10	10	Insomnia	Frisk	Cursed Body	Lv. 28		Spell Tag	The Nyx Trails (wild)	Amorphous	Amorphous	Evo, Darkest Lariat	1, Phantom Force	1, Knock Off	4, Screech	7, Night Shade	10, Spite	13, Shadow Sneak	16, Will-O-Wisp	19, Feint Attack	21, Headbutt	22, Hex	26, Curse	28, Glare	30, Shadow Ball	34, Embargo	36, Body Slam	38, Sucker Punch	40, Rage Fist	42, Snatch	46, Grudge	50, Trick	52, Bitter Blade	54, Phantom Force					Disable	Destiny Bond	Foresight	Astonish	Imprison	Pursuit	Shadow Sneak	Confuse Ray	Ominous Wind	Gunk Shot	Phantom Force							TM04 - Calm Mind	TM06 - Toxic	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM18 - Rain Dance	TM23 - Hex	TM24 - Thunderbolt	TM25 - Thunder	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM34 - Shock Wave	TM41 - Torment	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM48 - Skill Swap	TM51 - Will-O-Wisp	TM54 - Dazzling Gleam	TM58 - Thunder Wave	TM59 - Dark Pulse	HM05 - Flash															Body Slam	Double-Edge	Dream Eater	Endure	Icy Wind	Metronome	Mud-Slap	Psych Up	Sleep Talk	Snore	Swagger	Swords Dance												354	2 Atk	1.1	12.5	159	45	25	35	Fast
Aipom	190	129	Normal		55	70	55	40	55	85	360	55	70	55	40	55	85	360	0	0	0	0	0	0	0	Technician	Pickup	Skill Link				Wanderer`s Woods N, Wanderer`s Woods S (wild)	Field	Field	1, Scratch	1, Tail Whip	4, Sand Attack	8, Astonish	11, Baton Pass	14, Karate Chop	16, Tickle	18, Fury Swipes	22, Swift	25, Screech	29, Agility	32, Double Hit	36, Throat Chop	39, Double Iron Bash	43, Last Resort	49, Population Bomb												Counter	Screech	Pursuit	Agility	Spite	Slam	Double Slap	Beat Up	Fake Out	Covet	Bounce	Revenge	Switcheroo	Quick Guard	Tail Slap			TM03 - Water Pulse	TM06 - Toxic	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM18 - Rain Dance	TM22 - Solar Beam	TM24 - Thunderbolt	TM25 - Thunder	TM28 - Dig	TM30 - Shadow Ball	TM31 - Brick Break	TM32 - Double Team	TM34 - Shock Wave	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM53 - Power-Up Punch	TM58 - Thunder Wave	HM01 - Cut	HM04 - Strength	HM06 - Rock Smash															Body Slam	Counter	Defense Curl	Double-Edge	Dream Eater	Dynamic Punch	Endure	Fire Punch	Fury Cutter	Ice Punch	Mega Kick	Mega Punch	Metronome	Mud-Slap	Seismic Toss	Sleep Talk	Snore	Swagger	Swift	Thunder Punch				190	1 Spe	0.8	11.5	72	45	20	50	Fast
Ambipom	424	130	Normal		75	100	66	60	66	115	482	75	100	66	60	66	115	482	0	0	0	0	0	0	0	Technician	Pickup	Skill Link	Lv. knows Double Hit			Aipom (evolve)	Field	Field	Evo, Dual Chop	1, Scratch	1, Tail Whip	4, Sand Attack	8, Astonish	11, Baton Pass	14, Karate Chop	16, Tickle	18, Fury Swipes	22, Swift	25, Screech	29, Agility	32, Double Hit	36, Throat Chop	39, Double Iron Bash	43, Last Resort	49, Population Bomb											Counter	Screech	Pursuit	Agility	Spite	Slam	Double Slap	Beat Up	Fake Out	Covet	Bounce	Revenge	Switcheroo	Quick Guard	Tail Slap			TM03 - Water Pulse	TM06 - Toxic	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM18 - Rain Dance	TM22 - Solar Beam	TM24 - Thunderbolt	TM25 - Thunder	TM28 - Dig	TM30 - Shadow Ball	TM31 - Brick Break	TM32 - Double Team	TM34 - Shock Wave	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM53 - Power-Up Punch	TM58 - Thunder Wave	HM01 - Cut	HM04 - Strength	HM06 - Rock Smash															Counter	Double-Edge	Dream Eater	Endure	Fire Punch	Fury Cutter	Ice Punch	Metronome	Mud-Slap	Sleep Talk	Snore	Swagger	Swift	Thunder Punch										424	2 Spe	1.2	20.3	169	45	20	100	Fast
Bounsweet	761	131	Grass		42	30	38	30	38	32	210	42	30	38	30	38	32	210	0	0	0	0	0	0	0	Leaf Guard	Oblivious	Sweet Veil			Grassy Seed	Jusmail Town, Riverwalk Trail S (wild)	Grass	Grass	1, Splash	5, Play Nice	9, Rapid Spin	13, Razor Leaf	15, Synthesis	17, Sweet Scent	21, Magical Leaf	25, Teeter Dance	29, Stomp	33, Aromatic Mist																		Grass Whistle	Synthesis	Play Rough	Feint	Charm	Acupressure												TM06 - Toxic	TM09 - Bullet Seed	TM11 - Sunny Day	TM15 - Draining Kiss	TM16 - Light Screen	TM17 - Protect	TM19 - Giga Drain	TM22 - Solar Beam	TM32 - Double Team	TM33 - Reflect	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM54 - Dazzling Gleam																									Endure	Sleep Talk	Snore	Swagger	Swift																			761	1 HP	0.3	3.2	42	235	20	50	Medium Slow
Steenee	762	132	Grass		52	45	48	40	48	62	295	52	40	48	40	48	62	290	0	5	0	0	0	0	5	Leaf Guard	Oblivious	Sweet Veil	Lv. 18		Grassy Seed	Kipos Town, Myrrini Island, Tower of Dioxippus (wild)	Grass	Grass	Evo, Double Slap	1, Splash	5, Play Nice	9, Rapid Spin	13, Razor Leaf	15, Synthesis	17, Sweet Scent	21, Magical Leaf	25, Teeter Dance	29, Stomp	33, Aromatic Mist	37, Captivate	41, Aromatherapy	45, Leaf Storm														Grass Whistle	Synthesis	Play Rough	Feint	Charm	Acupressure												TM06 - Toxic	TM09 - Bullet Seed	TM11 - Sunny Day	TM15 - Draining Kiss	TM16 - Light Screen	TM17 - Protect	TM19 - Giga Drain	TM22 - Solar Beam	TM32 - Double Team	TM33 - Reflect	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM54 - Dazzling Gleam																									Endure	Sleep Talk	Snore	Swagger	Swift																			762	2 Spe	0.7	8.2	102	120	20	50	Medium Slow
Tsareena	763	133	Grass		72	120	98	45	98	97	530	72	120	98	50	98	72	510	0	0	0	-5	0	25	20	Leaf Guard	Queenly Majesty	Strong Legs	Lv. knows Stomp		Grassy Seed	Steenee (evolve)	Grass	Grass	Evo, Trop Kick	1, Punishment	1, Double Slap	1, Splash	5, Swagger	9, Rapid Spin	13, Razor Leaf	15, Synthesis	17, Sweet Scent	21, Magical Leaf	25, Teeter Dance	29, Stomp	33, Aromatic Mist	35, Stomping Tantrum	37, Captivate	41, Aromatherapy	43, High Jump Kick	45, Leaf Storm	49, Thunderous Kick	53, Power Whip								Grass Whistle	Synthesis	Play Rough	Feint	Charm	Acupressure												TM06 - Toxic	TM09 - Bullet Seed	TM11 - Sunny Day	TM12 - Taunt	TM15 - Draining Kiss	TM16 - Light Screen	TM17 - Protect	TM19 - Giga Drain	TM22 - Solar Beam	TM32 - Double Team	TM33 - Reflect	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM54 - Dazzling Gleam																								Endure	Mega Kick	Sleep Talk	Snore	Swagger	Swift																		763	3 Atk	1.2	21.4	255	45	20	50	Medium Slow
Wooper	194	134	Water	Ground	60	45	45	25	25	15	215	55	45	45	25	25	15	210	5	0	0	0	0	0	5	Damp	Water Absorb	Unaware				Riverwalk Trail S, Wanderer`s Woods N, Wanderer`s Woods S (wild) Acrisia City, Acrisia Mountains, Wanderer`s Woods N (GR)(fish)	Water 1	Field	1, Water Gun	1, Tail Whip	5, Mud Sport	9, Mud Shot	15, Slam	19, Mud Bomb	23, Amnesia	29, Yawn	33, Earthquake	37, Rain Dance	43, Mist	43, Haze	47, Muddy Water															Body Slam	Ancient Power	Curse	Mud Sport	Stockpile	Swallow	Spit Up	Counter	Encore	Double Kick	Recover	After You	Sleep Talk	Acid Spray	Guard Swap	Eerie Impulse	Power-Up Punch	TM03 - Water Pulse	TM06 - Toxic	TM07 - Whirlpool	TM13 - Ice Beam	TM14 - Blizzard	TM17 - Protect	TM18 - Rain Dance	TM21 - Acid Spray	TM26 - Earthquake	TM28 - Dig	TM32 - Double Team	TM36 - Sludge Bomb	TM37 - Sandstorm	TM39 - Rock Tomb	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM49 - Bulldoze	TM53 - Power-Up Punch	TM56 - Scald	HM03 - Surf	HM05 - Flash	HM06 - Rock Smash	HM07 - Waterfall	HM08 - Dive														Body Slam	Counter	Defense Curl	Double-Edge	Dynamic Punch	Endure	Ice Punch	Icy Wind	Mud-Slap	Rock Slide	Rollout	Sleep Talk	Snore	Swagger										194	1 HP	0.4	8.5	42	255	20	50	Medium Fast
Quagsire	195	135	Water	Ground	115	85	85	65	65	35	450	95	85	85	65	65	35	430	20	0	0	0	0	0	20	Damp	Water Absorb	Unaware	Lv. 20			Palati City (wild) Kalami City (SR)(fish)	Water 1	Field	1, Water Gun	1, Tail Whip	5, Mud Sport	9, Mud Shot	15, Slam	19, Mud Bomb	22, Amnesia	25, Triple Dive	27, Body Slam	31, Yawn	35, Earthquake	39, Aqua Tail	41, Rain Dance	44, Slack Off	48, Mist	48, Haze	53, Muddy Water	56, Flip Turn										Body Slam	Ancient Power	Curse	Mud Sport	Stockpile	Swallow	Spit Up	Counter	Encore	Double Kick	Recover	After You	Sleep Talk	Acid Spray	Guard Swap	Eerie Impulse	Power-Up Punch	TM03 - Water Pulse	TM06 - Toxic	TM07 - Whirlpool	TM13 - Ice Beam	TM14 - Blizzard	TM17 - Protect	TM18 - Rain Dance	TM21 - Acid Spray	TM26 - Earthquake	TM28 - Dig	TM31 - Brick Break	TM32 - Double Team	TM36 - Sludge Bomb	TM37 - Sandstorm	TM39 - Rock Tomb	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM49 - Bulldoze	TM53 - Power-Up Punch	TM56 - Scald	HM03 - Surf	HM04 - Strength	HM05 - Flash	HM06 - Rock Smash	HM07 - Waterfall	HM08 - Dive											Body Slam	Counter	Defense Curl	Double-Edge	Dynamic Punch	Endure	Ice Punch	Icy Wind	Mega Kick	Mega Punch	Mud-Slap	Rock Slide	Rollout	Seismic Toss	Sleep Talk	Snore	Swagger							195	2 HP	1.4	75.0	151	90	20	50	Medium Fast
Clodsire	980	136	Poison	Ground	130	75	60	45	100	20	430	130	75	60	45	100	20	430	0	0	0	0	0	0	0	Poison Point	Water Absorb	Unaware	Lv. 20			Palati City (wild)	Water 1	Field	Evo, Amnesia	1, Tail Whip	1, Poison Sting	4, Toxic Spikes	8, Mud Shot	12, Poison Tail	16, Slam	21, Yawn	24, Poison Jab	30, Sludge Wave	36, Megahorn	40, Toxic	44, Earthquake	48, Shore Up														Acid Spray	After You	Ancient Power	Counter	Curse	Double Kick	Haze	Mist	Recover	Spit Up	Stockpile	Swallow						TM03 - Water Pulse	TM06 - Toxic	TM17 - Protect	TM18 - Rain Dance	TM20 - Poison Jab	TM21 - Acid Spray	TM26 - Earthquake	TM28 - Dig	TM36 - Sludge Bomb	TM37 - Sandstorm	TM39 - Rock Tomb	TM42 - Facade	TM44 - Rest	TM49 - Bulldoze	HM03 - Surf	HM07 - Waterfall																							Body Slam	Counter	Double-Edge	Endure	Mud-Slap	Rock Slide	Sleep Talk																	980	2 HP	1.8	223.0	151	90	20	50	Medium Fast
Toedscool	948	137	Ground	Grass	40	40	35	60	100	70	345	40	40	35	50	100	70	335	0	0	0	10	0	0	10	Mycelium Might		Effect Spore		Tiny Mushroom	Big Mushroom	Kalami City, Wanderer`s Woods N, Palati City (wild)	Grass	Grass	1, Wrap	1, Mud-Slap	4, Absorb	8, Poison Powder	8, Stun Spore	12, Supersonic	15, Tackle	16, Mega Drain	20, Screech	23, Mud Shot	25, Hex	28, Sludge	30, Ingrain	32, Seed Bomb	35, Spore	38, Giga Drain	42, Growth	45, Earth Power	50, Power Whip									Acupressure	Knock Off	Leech Seed	Mirror Coat	Rage Powder	Rapid Spin	Tickle	Toxic										TM06 - Toxic	TM09 - Bullet Seed	TM12 - Taunt	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM19 - Giga Drain	TM21 - Acid Spray	TM22 - Solar Beam	TM23 - Hex	TM33 - Reflect	TM36 - Sludge Bomb	TM44 - Rest	TM54 - Dazzling Gleam																									Endure	Mud-Slap	Sleep Talk	Swift																				948	1 Sp. Def	0.9	33.0	67	190	20	50	Medium Slow
Toedscruel	949	138	Ground	Grass	85	70	65	85	120	100	525	80	70	65	80	120	100	515	5	0	0	5	0	0	10	Mycelium Might		Effect Spore	Lv. 30	Tiny Mushroom	Big Mushroom	Palati City (wild)	Grass	Grass	1, Reflect Type	1, Wrap	1, Mud-Slap	4, Absorb	8, Poison Powder	8, Stun Spore	12, Supersonic	15, Tackle	16, Mega Drain	20, Screech	23, Mud Shot	25, Hex	28, Sludge	30, Ingrain	32, Seed Bomb	35, Spore	38, Giga Drain	42, Growth	45, Earth Power	50, Power Whip								Acupressure	Knock Off	Leech Seed	Mirror Coat	Rage Powder	Rapid Spin	Tickle	Toxic										TM06 - Toxic	TM09 - Bullet Seed	TM12 - Taunt	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM19 - Giga Drain	TM21 - Acid Spray	TM22 - Solar Beam	TM23 - Hex	TM33 - Reflect	TM36 - Sludge Bomb	TM44 - Rest	TM54 - Dazzling Gleam																									Endure	Mud-Slap	Sleep Talk	Swift																				949	2 Sp. Def	1.9	58.0	180	90	20	50	Medium Slow
Blitzle	522	139	Electric		45	65	32	50	37	76	305	45	60	32	50	32	76	295	0	5	0	0	5	0	10	Lightning Rod	Motor Drive	Sap Sipper				Wanderer`s Woods N (wild)	Field	Field	1, Quick Attack	4, Tail Whip	8, Charge	11, Shock Wave	15, Thunder Wave	18, Flame Charge	22, Pursuit	24, Spark	27, Stomp	31, Blaze Kick	34, Discharge	36, Agility	39, Wild Charge	41, Trop Kick	44, Stomping Tantrum	48, Thunderous Kick	52, Thrash											Me First	Take Down	Sand Attack	Double Kick	Screech	Rage	Endure	Double-Edge	Shock Wave	Snatch	Feint							TM06 - Toxic	TM11 - Sunny Day	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM24 - Thunderbolt	TM25 - Thunder	TM32 - Double Team	TM34 - Shock Wave	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM58 - Thunder Wave	HM05 - Flash																									Body Slam	Double-Edge	Endure	Sleep Talk	Snore	Swagger	Swift																	522	1 Spe	0.8	29.8	59	190	20	50	Medium Fast
Zebstrika	523	140	Electric		85	110	63	80	63	116	517	75	100	63	80	63	116	497	10	10	0	0	0	0	20	Lightning Rod	Motor Drive	Sap Sipper	Lv. 27			Blitzle (evolve)	Field	Field	1, Quick Attack	4, Tail Whip	8, Charge	11, Shock Wave	15, Thunder Wave	18, Flame Charge	22, Pursuit	24, Spark	27, Stomp	31, Blaze Kick	34, Discharge	36, Agility	39, Wild Charge	41, Trop Kick	44, Stomping Tantrum	48, Thunderous Kick	52, Thrash	55, Ion Deluge										Me First	Take Down	Sand Attack	Double Kick	Screech	Rage	Endure	Double-Edge	Shock Wave	Snatch	Feint							TM06 - Toxic	TM11 - Sunny Day	TM12 - Taunt	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM24 - Thunderbolt	TM25 - Thunder	TM32 - Double Team	TM34 - Shock Wave	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM49 - Bulldoze	TM58 - Thunder Wave	HM05 - Flash	HM06 - Rock Smash																						Body Slam	Double-Edge	Endure	Sleep Talk	Snore	Swagger	Swift																	523	2 Spe	1.6	79.5	174	75	20	50	Medium Fast
Hoothoot	163	141	Normal	Flying	60	30	30	41	56	50	267	60	30	30	36	56	50	262	0	0	0	5	0	0	5	Analytic	Keen Eye	Tinted Lens				Acrisia City, Bronze Fields N, Pythios Town (wild)	Flying	Flying	1, Tackle	1, Growl	1, Foresight	4, Hypnosis	7, Peck	10, Confusion	13, Echoed Voice	16, Night Shade	19, Psycho Shift	22, Extrasensory	25, Relic Song	28, Reflect	31, Air Slash	34, Uproar	37, Roost	40, Moonblast	43, Synchronoise	46, Dream Eater										Mirror Move	Supersonic	Feint Attack	Wing Attack	Whirlwind	Sky Attack	Feather Dance	Agility	Night Shade	Defog	Mean Look	Hurricane						TM04 - Calm Mind	TM06 - Toxic	TM11 - Sunny Day	TM17 - Protect	TM18 - Rain Dance	TM23 - Hex	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM33 - Reflect	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM47 - Steel Wing	TM48 - Skill Swap	TM50 - Deepwater Curse	TM51 - Will-O-Wisp	TM57 - Roost	HM02 - Fly	HM05 - Flash																	Double-Edge	Dream Eater	Endure	Mud-Slap	Psych Up	Sleep Talk	Snore	Swagger	Swift															163	1 HP	0.7	21.2	52	255	15	50	Medium Fast
Noctowl	164	142	Ghost	Flying	100	50	55	86	101	65	457	100	50	50	86	96	70	452	0	0	5	0	5	-5	5	Shadow Tag	Keen Eye	Tinted Lens	Lv. 20			Sofos City, Sea of Vulcai (wild)	Flying	Flying	Evo, Hex	1, Dream Eater	1, Sky Attack	1, Tackle	1, Growl	1, Foresight	4, Hypnosis	7, Peck	10, Confusion	13, Echoed Voice	16, Night Shade	19, Psycho Shift	23, Psybeam	27, Relic Song	30, Extrasensory	32, Reflect	35, Air Slash	38, Bitter Malice	41, Uproar	43, Roost	47, Moonblast	51, Synchronoise	55, Dream Eater					Mirror Move	Supersonic	Feint Attack	Wing Attack	Whirlwind	Sky Attack	Feather Dance	Agility	Night Shade	Defog	Mean Look	Hurricane						TM04 - Calm Mind	TM06 - Toxic	TM11 - Sunny Day	TM17 - Protect	TM18 - Rain Dance	TM23 - Hex	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM33 - Reflect	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM47 - Steel Wing	TM48 - Skill Swap	TM50 - Deepwater Curse	TM51 - Will-O-Wisp	TM57 - Roost	HM02 - Fly	HM05 - Flash																	Body Slam	Double-Edge	Dream Eater	Endure	Mud-Slap	Psych Up	Sleep Talk	Snore	Swagger	Swift														164	2 HP	1.6	40.8	158	90	15	50	Medium Fast
